# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 28.11.2018 13:45:27
1;0;0;0;5;0;0;255;25;25;0;0;40;30;84279808;0
50;0;0;0;9;634;0;248;25;25;0;0;40;30;84279301;0
54;40;0;0;5;216;0;255;25;25;0;0;40;30;84279300;0
70;40;33;0;5;211;0;255;25;25;0;0;40;30;84279296;0
86;40;34;0;6;191;0;255;26;25;0;0;40;30;84344832;0
87;40;34;0;5;190;0;255;26;26;0;0;40;30;84344832;0
88;39;32;240;294;190;0;240;25;27;0;0;40;30;84344832;0
89;40;31;147;334;191;0;249;26;29;0;0;40;30;84344832;0
90;40;33;6;0;195;0;18;26;31;0;0;40;30;84344832;0
91;40;33;1;0;215;0;35;26;33;0;0;40;30;84344832;0
92;39;31;149;356;234;0;246;26;35;1856;15;40;30;84344832;0
93;40;32;148;201;254;0;11;27;37;1856;15;40;30;84344832;0
94;40;33;2;1;271;0;19;27;39;1856;15;40;30;84344832;0
95;40;32;60;103;283;0;0;27;41;1414;21;40;30;84344832;0
96;40;32;51;258;293;0;240;28;43;1414;21;40;30;84344832;0
97;39;31;191;416;303;0;242;30;45;1414;21;40;30;84344832;0
98;40;33;3;0;309;0;42;30;47;1414;21;40;30;84344832;0
99;40;32;8;200;313;0;246;29;49;1414;21;40;30;84344832;0
100;39;31;176;417;319;0;246;31;51;1906;12;40;30;84344832;0
101;40;33;4;0;324;0;12;32;52;1906;12;40;30;84344832;0
102;40;33;1;1;326;0;6;31;52;1906;12;40;30;84344832;0
103;39;31;148;367;328;0;244;32;53;1353;18;40;30;84344832;0
104;40;33;14;2;330;0;15;34;54;1353;18;40;30;84344832;0
105;40;33;1;1;330;0;5;33;54;1353;18;40;30;84344832;0
106;39;31;141;379;329;0;243;34;54;1550;17;40;30;84344832;0
107;40;33;20;6;330;0;13;36;55;1550;17;40;30;84344832;0
108;40;32;11;92;328;0;0;35;56;1372;24;40;30;84344832;0
109;40;32;14;15;326;0;0;36;56;1372;24;40;30;84344832;0
110;39;31;154;434;326;0;240;37;57;271;37;40;30;84344832;0
111;40;32;42;114;325;0;0;38;58;271;37;40;30;84344832;0
112;39;31;147;396;320;0;242;39;59;271;37;40;30;84344832;0
113;40;32;37;92;315;0;0;40;61;271;37;40;30;84344832;0
114;40;32;11;18;309;0;255;40;61;271;37;40;30;84344832;0
115;40;31;8;362;304;0;230;40;62;271;37;40;30;84344832;0
