# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 27.11.2018 15:00:27
1;0;0;0;5;0;0;0;23;23;0;0;40;30;84279808;0
50;0;0;0;6;632;0;248;24;23;0;0;40;30;84279301;0
86;40;0;0;5;208;0;255;24;23;0;0;40;30;84279300;0
100;40;32;0;5;208;0;255;24;23;0;0;40;30;84279296;0
127;40;33;0;5;188;0;255;24;23;0;0;40;30;84344832;0
128;40;33;0;5;188;0;255;24;24;0;0;40;30;84344832;0
129;40;33;0;5;188;0;255;24;26;0;0;40;30;84344832;0
130;40;33;0;5;188;0;255;24;28;0;0;40;30;84344832;0
131;40;30;180;386;188;0;246;24;30;0;0;40;30;84344832;0
132;40;31;31;21;191;0;10;25;32;0;0;40;30;84344832;0
133;40;31;1;0;207;0;6;24;34;0;0;40;30;84344832;0
134;40;30;208;314;231;0;242;25;36;1924;18;40;30;84344832;0
135;40;31;58;63;261;0;8;26;38;1924;18;40;30;84344832;0
136;40;31;2;0;287;0;8;26;40;1924;18;40;30;84344832;0
137;40;30;25;251;309;0;242;26;42;1924;18;40;30;84344832;0
138;40;30;147;254;326;0;249;27;44;1563;16;40;30;84344832;0
139;40;31;7;0;340;0;8;28;46;1563;16;40;30;84344832;0
140;40;31;1;1;348;0;3;28;48;1563;16;40;30;84344832;0
141;40;30;137;327;356;0;246;29;49;1205;17;40;30;84344832;0
142;40;30;55;144;360;0;0;31;51;1205;17;40;30;84344832;0
143;40;30;26;61;358;0;0;32;53;1205;17;40;30;84344832;0
144;40;30;32;283;351;0;238;32;54;1205;17;40;30;84344832;0
145;40;30;51;65;339;0;6;34;55;1892;15;40;30;84344832;0
146;40;31;6;1;327;0;8;34;56;1015;35;40;30;84344832;0
147;40;30;103;265;316;0;246;33;57;114;44;40;30;84344832;0
148;40;30;127;269;312;0;1;36;57;114;44;40;30;84344832;0
149;40;31;2;0;309;0;8;35;58;114;44;40;30;84344832;0
150;40;30;99;320;306;0;244;35;58;1208;19;40;30;84344832;0
151;40;30;108;188;306;0;4;37;59;1208;19;40;30;84344832;0
152;40;31;3;0;305;0;6;37;59;1208;19;40;30;84344832;0
153;40;30;119;267;306;0;244;37;60;1314;19;40;30;84344832;0
154;40;30;91;144;308;0;5;39;60;1314;19;40;30;84344832;0
155;40;31;3;0;310;0;7;39;61;1314;19;40;30;84344832;0
156;40;30;104;235;311;0;245;38;61;1214;19;37;30;84344832;0
157;40;30;125;219;313;0;3;40;61;1214;19;37;30;84344832;0
158;40;31;3;0;315;0;6;40;61;1214;19;37;30;84344832;0
159;40;30;112;281;315;0;245;40;61;1361;19;37;30;84344832;0
160;40;30;157;409;317;0;245;42;60;1361;19;37;30;84344832;0
161;40;31;4;0;320;0;8;42;60;1361;19;37;30;84344832;0
162;40;30;7;214;319;0;245;41;59;1361;19;37;30;84344832;0
163;40;30;143;388;320;0;244;42;59;1446;18;37;30;84344832;0
164;40;31;5;1;320;0;8;43;58;1446;18;37;30;84344832;0
165;40;30;5;200;319;0;242;42;58;1446;18;37;30;84344832;0
166;40;30;149;400;319;0;245;43;57;1359;18;37;30;84344832;0
167;40;31;4;0;318;0;7;43;57;1359;18;37;30;84344832;0
168;40;30;35;403;316;0;235;42;56;1381;19;37;30;84344832;0
169;40;30;103;203;316;0;2;43;56;1381;19;37;30;84344832;0
170;40;31;4;1;315;0;5;44;55;1381;19;37;30;84344832;0
171;40;30;50;287;313;0;242;43;55;1177;21;37;30;84344832;0
172;40;30;144;390;312;0;247;44;54;1177;21;37;30;84344832;0
173;40;31;5;1;311;0;9;44;54;1177;21;37;30;84344832;0
174;40;30;1;64;308;0;247;43;54;1177;21;37;30;84344832;0
175;40;30;145;407;307;0;244;44;53;1485;17;37;30;84344832;0
176;40;31;6;1;306;0;7;44;53;1485;17;37;30;84344832;0
177;40;30;4;45;305;0;255;43;53;1485;17;37;30;84344832;0
178;40;30;122;340;305;0;247;44;52;1393;19;37;30;84344832;0
179;40;31;7;1;306;0;7;44;52;1393;19;37;30;84344832;0
180;40;30;6;132;305;0;247;44;52;1393;19;37;30;84344832;0
181;40;30;132;363;303;0;246;44;51;1335;18;37;30;84344832;0
182;40;31;7;1;302;0;8;44;51;1335;18;37;30;84344832;0
183;40;30;4;156;299;0;242;44;51;1335;18;37;30;84344832;0
184;40;30;136;379;297;0;245;44;50;1274;19;37;30;84344832;0
185;40;31;6;1;295;0;7;44;50;1274;19;37;30;84344832;0
186;40;31;1;53;294;0;249;44;50;1274;19;37;30;84344832;0
187;40;30;138;365;294;0;244;44;49;1359;19;37;30;84344832;0
188;40;31;5;1;296;0;7;44;49;1359;19;37;30;84344832;0
189;40;30;2;141;297;0;242;43;49;1359;19;37;30;84344832;0
190;40;30;148;377;299;0;245;44;49;1270;19;37;30;84344832;0
191;40;31;4;0;301;0;6;44;48;1270;19;37;30;84344832;0
192;40;30;112;269;302;0;245;43;48;1172;21;37;30;84344832;0
193;40;31;19;8;303;0;8;44;48;1172;21;37;30;84344832;0
194;40;31;2;2;304;0;1;44;48;1172;21;37;30;84344832;0
195;40;30;125;345;303;0;245;44;47;1072;21;37;30;84344832;0
196;40;31;9;2;303;0;8;44;47;1072;21;37;30;84344832;0
197;40;31;2;19;302;0;0;43;47;1072;21;37;30;84344832;0
198;40;30;131;347;302;0;248;43;47;1145;21;37;30;84344832;0
199;40;31;4;0;302;0;6;43;46;1145;21;37;30;84344832;0
200;40;30;75;249;301;0;245;43;46;1139;20;37;30;84344832;0
201;40;30;118;291;302;0;252;43;46;1139;20;37;30;84344832;0
202;40;31;3;1;302;0;4;43;46;1139;20;37;30;84344832;0
203;40;30;126;271;300;0;244;43;45;1074;20;37;30;84344832;0
204;40;30;68;101;299;0;5;43;45;1074;20;37;30;84344832;0
205;40;31;2;0;298;0;5;43;45;1074;20;37;30;84344832;0
206;40;30;147;400;297;0;242;43;45;1116;22;37;30;84344832;0
207;40;31;9;2;298;0;7;43;45;1116;22;37;30;84344832;0
208;40;31;1;5;298;0;1;43;44;1116;22;37;30;84344832;0
209;40;30;129;341;300;0;246;42;44;1313;20;37;30;84344832;0
210;40;31;5;0;304;0;7;42;44;1313;20;37;30;84344832;0
211;40;30;6;270;305;0;237;42;44;1313;20;37;30;84344832;0
212;40;30;147;363;306;0;250;42;44;1155;20;37;30;84344832;0
213;40;31;4;0;307;0;7;42;43;1155;20;37;30;84344832;0
214;40;30;133;310;307;0;243;42;43;1332;20;37;30;84344832;0
215;40;30;77;130;308;0;6;42;43;1332;20;37;30;84344832;0
216;40;31;2;0;308;0;5;42;43;1332;20;37;30;84344832;0
217;40;30;127;341;307;0;243;42;43;1220;20;37;30;84344832;0
218;40;30;50;77;308;0;5;42;43;1220;20;37;30;84344832;0
219;40;31;2;0;307;0;5;42;42;1220;20;37;30;84344832;0
220;40;30;117;322;305;0;245;42;42;1234;20;37;30;84344832;0
