# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 04.12.2019 12:59:20
1;0;0;0;4;0;0;255;23;22;0;0;0;34;84148736;0
50;0;0;0;4;663;0;247;24;23;0;0;0;34;84148229;0
74;51;0;0;4;214;0;255;24;23;0;0;0;34;84148228;0
135;51;24;0;5;213;0;255;24;23;0;0;0;34;84148224;0
196;51;40;0;5;213;0;255;25;24;0;0;0;34;84148224;0
217;51;39;0;0;193;0;255;25;24;0;0;0;34;84213760;0
218;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
219;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
220;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
221;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
222;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
223;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
224;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
225;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
226;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
227;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
228;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
229;51;39;0;4;193;0;255;25;24;0;0;0;34;84213760;0
230;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
231;51;39;0;5;194;0;255;25;24;0;0;0;34;84213760;0
232;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
233;51;39;0;5;193;0;255;25;24;0;0;0;34;84213760;0
234;51;39;0;5;194;0;255;25;24;0;0;0;22;84213760;0
235;51;39;0;4;194;0;255;25;24;0;0;0;22;84213760;0
236;51;39;0;5;193;0;255;25;24;0;0;0;22;84221952;0
237;51;39;0;5;194;0;255;25;24;0;0;0;22;84221952;0
238;51;39;0;5;193;0;255;25;24;0;0;0;22;84156416;0
239;51;39;0;4;214;0;255;25;24;0;0;0;22;84148224;0
271;51;39;0;5;213;0;255;25;24;0;0;50;22;84279296;0
# POWERON 04.12.2019 13:04:42
1;51;39;0;4;0;0;255;25;24;0;0;50;22;84279808;0
2;51;39;0;4;113;0;255;25;24;0;0;50;22;84279296;0
21;51;39;0;5;194;0;255;26;24;0;0;50;22;84344832;0
22;51;39;0;5;193;0;255;25;25;0;0;50;22;84344832;0
23;51;39;0;5;193;0;255;25;26;0;0;50;22;84344832;0
24;51;39;0;4;194;0;255;25;28;0;0;50;22;84344832;0
25;51;39;0;5;193;0;255;25;30;0;0;50;22;84344832;0
26;51;39;0;4;193;0;255;25;32;0;0;50;22;84344832;0
27;51;39;0;5;193;0;255;25;34;0;0;50;22;84344832;0
28;51;39;0;5;194;0;255;25;36;0;0;50;22;84344832;0
29;51;39;0;5;193;0;255;25;38;0;0;50;22;84344832;0
30;51;39;0;5;193;0;255;25;40;0;0;50;22;84279296;0
91;51;39;0;4;213;0;255;30;38;0;0;50;22;84279296;0
152;51;39;0;5;213;0;255;31;36;0;0;50;22;84279296;0
213;51;39;0;5;213;0;255;32;35;0;0;50;22;84279296;0
274;51;39;0;5;213;0;255;32;34;0;0;50;22;84279296;0
335;51;39;0;5;213;0;255;32;33;0;0;50;22;84279296;0
396;51;37;0;5;213;0;255;32;32;0;0;50;22;84279296;0
457;51;34;0;5;213;0;255;31;32;0;0;50;22;84279296;0
518;51;32;0;4;213;0;255;31;31;0;0;50;22;84279296;0
579;51;38;0;5;214;0;255;31;31;0;0;50;22;84279296;0
619;51;40;0;5;194;0;255;31;31;0;0;50;22;84344832;0
620;51;40;0;3;194;0;255;31;31;0;0;50;22;84344832;0
621;51;40;0;5;194;0;255;31;33;0;0;50;22;84344832;0
622;51;40;0;5;194;0;255;31;35;0;0;50;22;84344832;0
623;51;40;0;32;194;0;238;31;37;0;0;50;22;84344832;0
624;51;35;86;195;194;0;250;31;39;0;0;50;22;84344832;0
625;51;35;80;200;193;0;253;31;41;0;0;50;22;84344832;0
626;51;37;7;0;192;0;7;32;43;0;0;50;22;84344832;0
627;51;37;3;11;188;0;255;32;45;0;0;50;22;84344832;0
628;51;35;39;179;191;0;249;32;47;1492;12;50;22;84344832;0
629;51;35;85;233;196;0;249;33;48;1492;12;50;22;84344832;0
630;51;37;12;0;204;0;4;34;50;1492;12;50;22;84344832;0
631;51;37;2;0;210;0;1;34;52;1492;12;50;22;84344832;0
632;51;36;4;159;216;0;245;33;54;1492;12;50;22;84344832;0
633;51;35;62;151;223;0;252;35;55;984;14;50;22;84344832;0
634;51;37;12;0;231;0;2;36;57;984;14;50;22;84344832;0
635;51;37;3;0;238;0;5;36;58;984;14;50;22;84344832;0
636;51;37;1;1;243;0;255;35;60;984;14;50;22;84344832;0
637;51;35;51;161;247;0;251;37;62;731;13;50;22;84344832;0
638;51;36;50;66;251;0;0;38;63;731;13;50;22;84344832;0
639;51;37;5;0;253;0;2;38;64;731;13;50;22;84344832;0
