# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 31.05.2019 12:53:46
1;0;0;0;4;0;0;0;26;25;0;0;64;25;84279808;0
50;0;0;0;5;636;0;248;26;25;0;0;64;25;84279301;0
110;35;0;0;5;212;0;255;26;25;0;0;64;25;84279300;0
113;36;40;0;5;212;0;255;27;25;0;0;64;25;84279296;0
136;42;38;0;6;192;0;222;27;26;0;0;55;35;84344832;0
137;36;36;279;513;192;0;241;27;26;0;0;55;35;84344832;0
138;38;36;123;236;195;0;255;27;28;0;0;55;35;84344832;0
139;38;37;40;70;215;0;0;27;30;2424;25;55;35;84344832;0
140;39;38;14;153;246;0;243;27;32;2424;25;55;35;84344832;0
141;36;36;128;227;273;0;250;27;34;332;33;55;35;84344832;0
142;36;37;128;175;288;0;252;28;36;332;33;55;35;84344832;0
143;38;38;53;65;300;0;0;29;38;332;33;55;35;84344832;0
144;39;39;6;0;313;0;0;29;40;332;33;55;35;84344832;0
145;36;36;215;306;326;0;234;29;42;2014;12;55;35;84344832;0
146;37;37;187;246;337;0;251;30;44;2014;12;55;35;84344832;0
147;38;37;89;143;346;0;0;31;45;2014;12;55;35;84344832;0
148;38;38;45;74;354;0;255;32;47;2014;12;55;35;84344832;0
149;39;39;7;4;359;0;0;32;49;2014;12;55;35;84344832;0
150;36;36;152;274;362;0;242;32;50;2499;12;55;35;84344832;0
151;37;37;122;227;361;0;252;34;52;2499;12;55;35;84344832;0
152;39;38;35;72;359;0;0;35;53;2499;12;55;35;84344832;0
153;39;39;8;5;358;0;0;35;55;2499;12;55;35;84344832;0
154;38;35;230;386;358;0;236;35;56;2499;12;55;35;84344832;0
155;38;37;105;174;357;0;0;37;58;1916;13;55;35;84279296;0
# POWERON 31.05.2019 13:05:16
1;44;16;0;4;0;0;0;35;37;0;0;55;35;84279808;0
2;44;16;0;4;130;0;0;35;37;0;0;55;35;84279296;0
32;44;33;0;4;243;0;255;35;36;0;0;55;35;84344832;0
33;44;33;0;4;223;0;255;35;36;0;0;55;35;84344832;0
34;35;21;179;327;224;0;242;35;37;0;0;55;35;84344832;0
35;38;16;16;11;224;0;10;35;39;0;0;55;35;84344832;0
36;38;18;3;1;233;0;0;35;41;0;0;55;35;84344832;0
37;35;14;241;265;252;0;239;35;43;1310;18;55;35;84344832;0
38;37;0;265;0;277;0;1;36;45;1310;18;55;35;84344836;0
39;38;0;21;5;305;0;5;36;46;1270;30;55;35;84344836;0
40;38;0;12;8;347;0;255;36;48;26;87;55;35;84344836;0
41;38;15;1;0;411;0;255;36;50;26;87;55;35;84344836;0
42;39;15;0;1;484;0;255;36;52;26;87;55;35;84344836;0
43;39;15;0;4;574;0;255;35;54;26;87;55;35;84344832;0
44;39;16;0;4;608;0;255;35;55;26;87;55;35;84344832;0
45;39;16;0;5;654;0;255;35;57;26;87;55;35;84344832;0
46;39;16;0;5;688;0;255;35;59;26;87;55;35;84344832;0
47;39;25;0;5;715;0;255;35;60;26;87;55;35;84344832;0
48;39;38;0;6;732;0;255;35;62;26;87;55;35;84344832;0
49;35;37;274;458;743;0;236;36;64;148;7;55;35;84344832;0
50;38;41;26;4;747;0;68;39;65;148;7;55;35;84344832;0
51;38;42;1;0;731;0;31;39;66;148;7;55;35;84344832;0
52;35;38;121;516;689;0;249;41;65;2035;21;55;35;84344832;0
53;38;41;9;0;632;0;68;44;65;2035;21;55;35;84344832;0
54;39;41;1;0;570;0;59;43;64;2035;21;55;35;84344832;0
55;35;38;91;361;512;0;0;44;64;1932;19;55;35;84344832;0
56;37;39;50;201;463;0;0;46;63;1932;19;55;35;84344832;0
57;38;40;27;110;420;0;0;47;62;1932;19;55;35;84279296;0
# POWERON 31.05.2019 15:36:49
1;45;1;0;5;0;0;255;27;27;0;0;55;35;84279808;0
2;45;1;0;5;118;0;255;27;27;0;0;55;35;84279300;0
15;45;46;0;5;215;0;255;28;27;0;0;55;35;84279296;0
76;45;43;0;6;215;0;255;28;27;0;0;55;35;84279296;0
137;45;43;0;6;215;0;255;28;27;0;0;55;35;84279296;0
179;45;42;0;0;191;0;209;28;27;0;0;60;31;84344832;0
180;35;39;97;156;190;0;254;28;28;0;0;60;31;84344832;0
181;37;42;2;0;191;0;5;28;29;0;0;60;31;84344832;0
182;35;38;121;241;197;0;247;28;31;700;24;60;31;84344832;0
183;37;41;7;0;212;0;8;28;33;700;24;60;31;84344832;0
184;37;43;2;2;229;0;0;28;35;700;24;60;31;84344832;0
185;36;41;23;24;247;0;253;28;37;841;19;60;31;84344832;0
186;37;42;3;0;265;0;1;28;39;841;19;60;31;84344832;0
187;36;40;33;58;286;0;250;28;41;74;25;60;31;84344832;0
188;36;42;4;0;304;0;2;28;43;74;25;60;31;84344832;0
189;37;43;1;0;318;0;253;28;45;74;25;60;31;84344832;0
190;36;41;17;2;325;0;1;29;47;122;21;60;31;84344832;0
191;37;43;1;0;325;0;0;29;49;122;21;60;31;84344832;0
192;37;41;10;33;326;0;251;29;50;62;24;60;31;84344832;0
193;35;41;11;1;328;0;3;30;52;62;24;60;31;84344832;0
194;37;43;1;0;331;0;5;30;54;62;24;60;31;84344832;0
195;36;38;121;287;328;0;237;30;55;273;18;60;31;84344832;0
196;37;41;6;0;321;0;8;32;57;273;18;60;31;84344832;0
197;34;38;151;319;315;0;244;32;59;549;33;60;31;84344832;0
198;37;41;9;2;315;0;6;35;60;549;33;60;31;84344832;0
199;37;42;3;0;318;0;0;35;61;549;33;60;31;84344832;0
200;38;43;1;0;323;0;2;35;63;549;33;60;31;84344832;0
201;36;41;10;0;329;0;6;36;64;1189;15;60;31;84344832;0
202;37;42;2;0;333;0;3;36;66;1189;15;60;31;84344832;0
203;38;43;0;8;335;0;253;36;67;1189;15;60;31;84344832;0
204;36;39;49;105;335;0;251;36;68;247;20;60;31;84344832;0
205;36;42;2;0;336;0;1;37;70;247;20;60;31;84344832;0
206;37;43;0;0;334;0;0;36;71;247;20;60;31;84344832;0
207;35;39;95;220;327;0;247;38;72;220;18;60;31;84344832;0
208;37;41;8;1;316;0;3;41;74;220;18;60;31;84344832;0
209;38;43;1;0;308;0;0;40;75;220;18;60;31;84344832;0
210;37;40;42;226;307;0;242;40;76;220;18;60;31;84344832;0
211;36;40;27;10;309;0;6;43;77;812;16;60;31;84344832;0
212;37;42;2;1;312;0;2;43;78;812;16;60;31;84344832;0
