# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 27.05.2019 18:32:37
1;0;0;0;4;0;0;0;26;25;0;0;51;30;84279808;0
50;0;0;0;3;633;0;247;26;25;0;0;51;30;84279301;0
79;31;0;0;5;211;0;255;26;25;0;0;51;30;84279300;0
82;33;34;0;5;210;0;255;26;25;0;0;51;30;84279296;0
133;34;37;0;5;191;0;255;26;25;0;0;64;25;84344832;0
134;28;31;309;951;191;0;215;26;26;0;0;64;25;84344832;0
135;29;29;123;331;191;0;4;26;27;0;0;64;25;84344832;0
136;30;33;3;0;196;0;16;26;29;0;0;64;25;84344832;0
137;30;29;88;560;206;0;233;26;31;0;0;64;25;84344832;0
138;29;29;157;388;217;0;0;27;33;2830;17;64;25;84344832;0
139;30;32;4;0;227;0;14;28;35;2830;17;64;25;84344832;0
140;31;33;7;300;236;0;237;27;37;2830;17;64;25;84344832;0
141;29;28;195;463;246;0;250;29;39;2104;18;64;25;84344832;0
142;30;32;4;0;256;0;15;29;41;2104;18;64;25;84344832;0
143;31;30;30;521;264;0;230;29;43;2104;18;64;25;84344832;0
144;29;29;155;486;269;0;253;31;45;2052;19;64;25;84344832;0
145;30;32;4;0;272;0;13;31;46;2052;19;64;25;84344832;0
146;29;27;170;569;273;0;233;31;48;2203;20;64;25;84344832;0
147;30;29;114;341;273;0;3;33;49;2203;20;64;25;84344832;0
148;31;33;2;0;273;0;12;34;51;2203;20;64;25;84344832;0
149;28;27;165;536;271;0;240;34;53;1879;20;64;25;84344832;0
150;30;29;60;194;268;0;3;36;54;1879;20;64;25;84344832;0
151;30;30;30;92;265;0;0;37;55;1879;20;64;25;84344832;0
152;31;32;6;8;262;0;255;37;57;1879;20;64;25;84344832;0
153;31;33;0;0;259;0;255;36;58;1879;20;64;25;84344832;0
154;32;34;0;0;255;0;255;36;60;1879;20;64;25;84344832;0
155;32;35;0;8;252;0;255;35;61;1879;20;64;25;84344832;0
156;29;28;186;626;251;0;245;37;63;2068;9;64;25;84344832;0
157;30;29;54;161;249;0;2;40;64;2068;9;64;25;84344832;0
158;28;26;228;703;248;0;231;41;65;2684;22;64;25;84344832;0
159;30;30;25;26;246;0;13;44;66;2684;22;64;25;84344832;0
160;31;33;1;0;245;0;8;43;67;2684;22;64;25;84344832;0
161;28;28;166;502;246;0;248;45;68;1688;23;64;25;84344832;0
162;31;31;6;1;249;0;13;46;69;1688;23;64;25;84344832;0
163;31;32;1;14;253;0;0;45;70;1688;23;64;25;84344832;0
164;28;28;140;445;257;0;250;47;71;1889;20;64;25;84344832;0
165;31;31;3;0;260;0;11;48;72;1889;20;64;25;84344832;0
166;31;32;0;41;262;0;1;47;73;1889;20;64;25;84344832;0
167;28;27;153;495;264;0;247;49;74;1794;19;64;25;84344832;0
168;31;30;7;1;266;0;13;51;75;1794;19;64;25;84344832;0
169;31;27;91;474;266;0;236;50;76;1889;22;64;25;84344832;0
170;29;26;128;408;266;0;254;53;77;1889;22;64;25;84344832;0
171;30;27;43;137;266;0;2;55;78;1889;22;64;25;84344832;0
172;31;28;16;44;264;0;0;55;79;1889;22;64;25;84344832;0
173;31;28;2;0;261;0;255;55;80;1889;22;64;25;84344832;0
174;32;28;0;0;256;0;255;53;80;1889;22;64;25;84344832;0
175;32;29;0;0;252;0;255;52;80;1889;22;64;25;84344832;0
176;32;29;0;0;249;0;255;52;79;1889;22;64;25;84344832;0
177;32;29;0;0;247;0;255;51;79;1889;22;64;25;84344832;0
178;32;29;0;0;246;0;255;50;79;1889;22;64;25;84344832;0
179;32;29;0;0;246;0;255;50;78;1889;22;64;25;84344832;0
180;33;29;0;0;247;0;255;49;78;1889;22;64;25;84344832;0
181;33;29;0;1;249;0;255;49;78;1889;22;64;25;84344832;0
182;33;29;0;1;252;0;255;49;79;1889;22;64;25;84344832;0
183;33;29;0;2;257;0;255;48;80;1889;22;64;25;84344832;0
184;33;29;0;2;262;0;255;48;80;1889;22;64;25;84344832;0
185;33;29;0;3;268;0;255;48;80;1889;22;64;25;84344832;0
186;33;29;0;3;274;0;255;48;80;1889;22;64;25;84344832;0
187;33;29;0;4;281;0;255;47;80;1889;22;64;25;84344832;0
188;33;29;0;4;286;0;255;47;81;0;0;64;25;84353024;0
189;33;29;0;4;293;0;255;47;81;0;0;64;25;84353024;0
190;33;29;1;155;299;0;249;47;81;0;0;64;25;84353024;0
191;29;20;239;689;304;0;244;51;80;0;0;64;25;84344832;0
192;30;19;69;201;308;0;3;55;80;0;0;64;25;84344832;0
193;30;18;32;89;307;0;1;57;81;0;0;64;25;84344832;0
194;31;18;9;16;303;0;0;57;82;0;0;64;25;84344832;0
195;31;19;0;0;295;0;255;56;82;0;0;64;25;84344832;0
196;32;19;0;0;288;0;255;56;82;0;0;64;25;84344832;0
197;32;19;0;0;282;0;255;55;82;0;0;64;25;84344832;0
198;32;19;0;0;276;0;255;54;82;0;0;64;25;84344832;0
199;32;19;0;0;272;0;255;54;82;0;0;64;25;84344832;0
200;32;19;0;0;270;0;255;53;81;0;0;64;25;84344832;0
201;32;19;0;0;269;0;255;53;81;0;0;64;25;84344832;0
202;32;19;0;0;269;0;255;53;81;0;0;64;25;84344832;0
203;28;16;169;493;272;0;237;54;80;0;0;64;25;84344832;0
204;30;13;61;124;275;0;8;57;80;0;0;64;25;84344832;0
205;31;13;1;0;277;0;12;58;81;0;0;64;25;84344836;0
206;28;8;194;604;277;0;242;59;81;1986;19;64;25;84344836;0
207;30;7;55;178;277;0;3;61;81;1986;19;64;25;84344836;0
208;30;7;26;77;276;0;0;62;82;1986;19;64;25;84344836;0
209;31;7;5;4;272;0;0;62;82;1986;19;64;25;84344836;0
210;32;7;0;0;266;0;255;61;83;1986;19;64;25;84344836;0
211;32;7;0;0;261;0;255;60;83;1986;19;64;25;84344836;0
212;32;7;0;0;257;0;255;60;83;1986;19;64;25;84344836;0
213;32;7;0;0;255;0;255;59;83;1986;19;64;25;84344836;0
214;32;7;0;0;253;0;255;59;82;1986;19;64;25;84344836;0
215;32;7;0;0;253;0;255;58;82;1986;19;64;25;84344836;0
216;33;7;0;0;254;0;255;58;82;1986;19;64;25;84344836;0
217;33;7;0;0;275;0;255;57;81;0;0;64;25;84279300;0
278;35;7;0;1;247;0;0;53;70;0;0;64;25;84279300;0
339;35;7;0;1;234;0;255;52;66;0;0;64;25;84279300;0
400;35;7;0;0;241;0;255;51;62;0;0;64;25;84279300;0
461;35;6;0;1;234;0;255;49;59;0;0;64;25;84279300;0
522;35;6;0;1;232;0;255;48;56;0;0;64;25;84279300;0
583;35;6;0;2;232;0;255;47;54;0;0;64;25;84279300;0
644;35;6;0;2;232;0;255;46;52;0;0;64;25;84279300;0
