# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 22.04.2020 10:34:55
1;38;0;0;6;0;0;0;24;24;0;0;90;40;84279808;0
5;38;0;0;6;0;0;255;24;24;0;0;90;40;84279840;0
66;36;0;201;7;0;0;10;31;51;0;0;90;40;84279840;0
# POWERON 22.04.2020 10:36:57
1;37;43;0;5;0;0;255;52;68;0;0;90;40;84279808;0
5;36;42;0;4;0;0;255;52;68;0;0;90;40;84279840;0
66;36;57;0;5;0;0;255;56;75;0;0;90;40;84279840;0
# POWERON 22.04.2020 10:38:57
1;0;40;0;4;0;0;255;53;65;0;0;90;30;84279808;0
5;0;39;0;4;0;0;255;53;64;0;0;90;30;84279840;0
36;0;0;0;0;507;0;255;52;69;0;0;90;30;84279808;0
44;32;0;0;0;1000;0;252;56;68;0;0;90;30;84279840;0
55;0;0;0;2;1000;0;255;55;66;0;0;90;30;84279808;0
116;0;0;0;4;1000;0;241;56;51;0;0;90;30;84279808;0
147;0;0;0;9;876;0;246;52;45;0;0;90;30;84279312;0
170;34;0;0;7;212;0;255;51;44;0;0;90;30;84279344;0
# POWERON 22.04.2020 10:42:25
1;34;0;0;9;0;0;255;52;59;0;0;90;30;84279808;0
5;34;0;0;9;0;0;255;51;58;0;0;90;30;84279840;0
66;34;57;0;8;0;0;255;55;69;0;0;90;30;84279840;0
127;34;57;0;5;0;0;255;77;88;0;0;90;30;84279840;0
188;34;37;204;198;0;0;22;87;90;0;0;90;40;84279840;0
202;34;57;0;5;0;0;1;87;82;0;0;0;50;84148768;0
259;36;57;0;7;0;0;248;76;68;0;0;90;50;84279840;0
319;37;57;0;8;0;0;0;69;60;0;0;0;70;84148768;0
341;36;57;0;8;0;0;0;66;57;0;0;90;70;84279840;0
402;34;57;0;6;0;0;0;60;51;0;0;90;70;84279840;0
463;35;48;0;4;0;0;255;55;47;0;0;90;70;84279840;0
466;35;46;0;4;0;0;255;54;47;0;0;0;95;84148768;0
# POWERON 22.04.2020 10:51:00
1;37;37;0;4;0;0;255;53;47;0;0;0;95;84148736;0
5;37;37;0;4;0;0;255;53;47;0;0;0;95;84148768;0
36;0;0;0;0;446;0;255;52;47;0;0;0;95;84148736;0
97;0;0;0;11;1000;0;242;46;40;0;0;0;95;84148736;0
128;0;0;0;9;690;0;250;43;37;0;0;0;95;84148240;0
# POWERON 22.04.2020 10:53:31
