# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 21.04.2020 17:24:41
1;0;0;0;4;0;0;255;27;27;0;0;88;30;84279808;0
50;0;0;0;2;635;0;248;28;27;0;0;88;30;84279301;0
111;0;0;0;4;212;0;255;28;27;0;0;88;30;84279301;0
# POWERON 21.04.2020 17:28:31
1;39;0;0;5;0;0;255;27;27;0;0;88;30;84279808;0
2;39;0;0;5;116;0;255;27;27;0;0;88;30;84279300;0
20;39;53;0;5;211;0;255;28;27;0;0;88;30;84279296;0
81;39;51;0;5;211;0;255;28;27;0;0;88;30;84279296;0
142;39;51;0;6;211;0;255;28;27;0;0;88;30;84279296;0
203;39;51;0;6;210;0;255;28;27;0;0;88;30;84279296;0
264;39;51;0;5;207;0;255;28;27;0;0;88;30;84279296;0
325;39;51;0;5;202;0;255;28;27;0;0;88;30;84279296;0
386;39;51;0;4;195;0;255;28;27;0;0;88;30;84279296;0
447;40;51;0;4;188;0;255;28;27;0;0;88;30;84279296;0
508;40;51;0;4;181;0;255;28;27;0;0;88;30;84279296;0
569;40;51;0;3;174;0;255;28;27;0;0;88;30;84279296;0
630;40;51;0;3;171;0;255;28;27;0;0;88;30;84279296;0
691;40;51;0;3;170;0;255;28;27;0;0;88;30;84279296;0
752;40;51;0;3;167;0;255;28;27;0;0;88;30;84279296;0
813;40;51;0;2;164;0;255;28;27;0;0;88;30;84279296;0
874;40;51;0;2;161;0;255;28;28;0;0;88;30;84279296;0
935;40;51;0;2;157;0;255;28;28;0;0;88;30;84279296;0
996;40;51;0;2;157;0;255;29;28;0;0;88;30;84279296;0
1039;39;51;0;5;201;0;237;29;28;0;0;70;30;84344832;0
1040;39;51;8;2;183;0;8;29;28;0;0;70;30;84344832;0
1041;39;50;3;198;184;0;228;28;30;0;0;70;30;84344832;0
1042;39;33;40;25;185;0;4;29;32;0;0;70;30;84344832;0
1043;39;51;4;0;184;0;0;28;34;0;0;70;30;84344832;0
1044;39;52;0;0;186;0;255;28;37;0;0;70;30;84344832;0
1045;39;42;191;265;193;0;241;29;39;803;16;70;30;84344832;0
1046;39;42;25;27;205;0;3;30;41;803;16;70;30;84344832;0
1047;39;52;3;0;220;0;0;30;43;803;16;70;30;84344832;0
1048;39;52;0;0;236;0;255;30;45;803;16;70;30;84344832;0
1049;39;45;166;209;252;0;239;30;47;1005;14;70;30;84344832;0
