# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 06.11.2018 16:30:50
1;0;0;0;5;0;0;0;25;25;0;0;0;25;84148736;0
50;0;0;0;4;631;0;249;26;25;0;0;0;25;84148229;0
58;40;0;0;4;210;0;255;26;25;0;0;0;25;84148228;0
61;0;0;0;5;210;0;0;26;25;0;0;0;25;84148229;0
65;40;0;0;5;210;0;255;26;25;0;0;0;25;84148228;0
69;40;32;0;4;210;0;0;26;25;0;0;0;25;84148224;0
95;40;31;0;5;210;0;255;26;25;0;0;0;25;84213760;0
96;40;31;0;4;190;0;255;26;25;0;0;0;25;84213760;0
97;40;31;0;5;190;0;0;26;25;0;0;0;25;84213760;0
98;40;27;79;247;190;0;244;26;25;0;0;0;25;84213760;0
99;40;28;7;5;190;0;11;26;25;0;0;0;25;84213760;0
100;40;27;62;313;191;0;242;26;25;732;22;0;25;84213760;0
101;40;27;77;142;193;0;255;26;25;732;22;0;25;84213760;0
102;40;28;3;0;204;0;10;26;25;732;22;0;25;84213760;0
103;40;27;3;81;233;0;253;27;25;732;22;0;25;84213760;0
104;40;27;22;16;267;0;0;26;25;948;18;0;25;84213760;0
105;40;28;2;0;288;0;6;26;25;948;18;0;25;84213760;0
106;40;27;7;97;298;0;250;26;25;319;19;0;25;84213760;0
107;40;28;13;3;299;0;1;26;25;319;19;0;25;84213760;0
108;40;28;2;0;298;0;4;26;25;319;19;0;25;84213760;0
109;40;27;20;94;293;0;251;26;25;237;22;0;25;84213760;0
110;40;28;5;0;283;0;5;26;25;237;22;0;25;84213760;0
111;40;28;1;0;272;0;0;26;25;237;22;0;25;84213760;0
112;40;27;22;75;260;0;252;26;25;213;21;0;25;84213760;0
113;40;28;3;0;248;0;5;26;25;213;21;0;25;84213760;0
114;40;27;3;85;237;0;249;27;25;213;21;0;25;84213760;0
115;40;27;35;19;227;0;2;26;25;232;20;0;25;84213760;0
116;40;28;2;0;217;0;6;26;25;232;20;0;25;84213760;0
117;40;27;33;116;210;0;250;27;25;347;22;0;25;84213760;0
118;40;28;12;2;205;0;2;26;25;347;22;0;25;84213760;0
119;40;28;1;0;203;0;4;26;25;347;22;0;25;84213760;0
120;40;27;47;103;205;0;251;26;25;327;20;0;25;84213760;0
121;40;28;6;0;209;0;6;26;25;327;20;0;25;84213760;0
122;40;28;1;0;215;0;1;27;25;327;20;0;25;84213760;0
123;40;27;36;81;222;0;251;26;25;281;20;0;25;84213760;0
124;40;28;6;0;229;0;5;26;25;281;20;0;25;84213760;0
125;40;28;1;3;237;0;252;27;25;281;20;0;25;84213760;0
126;40;27;49;96;243;0;252;26;25;228;20;0;25;84213760;0
127;40;28;5;0;248;0;10;26;25;228;20;0;25;84213760;0
128;40;28;1;0;253;0;255;27;25;228;20;0;25;84213760;0
129;40;27;43;82;259;0;253;26;25;346;19;0;25;84213760;0
130;40;28;3;0;265;0;9;26;25;346;19;0;25;84213760;0
131;40;27;5;86;270;0;250;27;25;346;19;0;25;84213760;0
132;40;27;29;33;273;0;255;26;25;338;20;0;25;84213760;0
133;40;28;2;0;276;0;5;27;25;338;20;0;25;84213760;0
134;40;27;22;110;277;0;249;27;25;276;20;0;25;84213760;0
135;40;28;16;5;277;0;1;26;25;276;20;0;25;84213760;0
136;40;28;2;0;275;0;5;27;25;276;20;0;25;84213760;0
137;40;27;14;104;273;0;249;27;25;278;19;0;25;84213760;0
138;40;27;17;5;269;0;0;26;25;278;19;0;25;84213760;0
139;40;28;2;0;266;0;6;27;25;278;19;0;25;84213760;0
140;40;27;10;104;263;0;249;27;25;285;18;0;25;84213760;0
141;40;27;18;6;258;0;0;26;26;285;18;0;25;84213760;0
142;40;28;3;0;255;0;6;27;25;285;18;0;25;84213760;0
143;40;27;8;107;253;0;249;27;25;285;18;0;25;84213760;0
144;40;27;22;11;251;0;0;26;26;313;18;0;25;84213760;0
145;40;28;3;0;250;0;4;27;26;313;18;0;25;84213760;0
146;40;27;43;111;249;0;250;27;26;294;22;0;25;84213760;0
