# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 01.12.2018 13:11:57
1;0;0;0;6;0;0;255;28;28;0;0;45;30;84279808;0
50;0;0;0;8;631;0;248;28;28;0;0;45;30;84279301;0
101;0;40;0;5;210;0;255;29;28;0;0;45;30;84279297;0
133;41;38;0;6;210;0;255;29;28;0;0;45;30;84279296;0
161;41;38;0;5;210;0;239;29;28;0;0;45;30;84344832;0
162;41;34;194;388;190;0;245;29;28;0;0;45;30;84344832;0
163;41;34;171;212;192;0;3;29;29;0;0;45;30;84344832;0
164;41;35;8;13;208;0;11;29;31;0;0;45;30;84344832;0
165;41;34;169;260;233;0;243;29;33;0;0;45;30;84344832;0
166;41;34;79;66;262;0;9;29;35;0;0;45;30;84344832;0
167;41;35;2;0;292;0;8;29;37;0;0;45;30;84344832;0
168;41;34;22;215;313;0;245;29;39;0;0;45;30;84344832;0
169;41;34;174;312;332;0;246;30;41;1254;17;45;30;84344832;0
170;41;35;4;0;347;0;10;31;43;1254;17;45;30;84344832;0
171;41;35;3;93;355;0;250;30;45;1254;17;45;30;84344832;0
172;41;34;149;354;360;0;248;32;47;1278;18;45;30;84344832;0
173;41;35;7;1;361;0;10;33;49;1278;18;45;30;84344832;0
174;41;34;2;72;357;0;0;32;50;1278;18;45;30;84344832;0
175;41;34;141;364;348;0;240;32;53;1547;15;45;30;84344832;0
176;41;35;113;209;341;0;8;35;54;1547;15;45;30;84344832;0
177;41;35;2;0;332;0;15;35;55;1547;15;45;30;84344832;0
178;41;34;139;396;324;0;246;36;56;1443;23;45;30;84344832;0
179;41;35;11;4;320;0;7;37;57;1443;23;45;30;84344832;0
180;41;34;16;45;315;0;0;37;58;1211;25;45;30;84344832;0
181;41;35;6;1;312;0;255;37;58;1211;25;45;30;84344832;0
182;41;35;1;0;312;0;255;37;59;1211;25;45;30;84344832;0
183;41;34;145;405;311;0;242;38;59;211;22;45;30;84344832;0
184;41;35;6;0;308;0;11;39;60;211;22;45;30;84344832;0
185;41;34;4;71;302;0;0;38;60;211;22;45;30;84344832;0
186;41;34;168;495;302;0;240;40;60;1080;21;45;30;84344832;0
187;41;35;4;0;302;0;8;41;61;1080;21;45;30;84344832;0
188;41;35;8;3;301;0;0;41;61;1211;26;45;30;84344832;0
189;41;35;2;1;303;0;255;40;62;1211;26;45;30;84344832;0
190;41;34;124;354;311;0;241;41;62;152;25;45;30;84344832;0
191;41;34;18;48;317;0;0;43;62;152;25;45;30;84344832;0
192;41;35;8;8;317;0;255;43;63;152;25;45;30;84344832;0
193;41;35;1;0;316;0;255;42;64;152;25;45;30;84344832;0
194;41;35;0;0;315;0;255;42;64;152;25;45;30;84344832;0
195;41;34;173;510;313;0;240;44;64;1179;12;45;30;84344832;0
196;41;34;16;52;310;0;2;44;65;1200;34;45;30;84344832;0
197;41;34;96;323;306;0;242;44;65;156;56;45;30;84344832;0
198;41;35;7;0;307;0;5;46;65;156;56;45;30;84344832;0
199;41;35;2;1;308;0;1;45;64;156;56;45;30;84344832;0
200;41;34;129;345;307;0;241;45;64;577;20;45;30;84344832;0
201;41;35;23;15;307;0;8;47;63;577;20;45;30;84344832;0
202;41;35;2;1;305;0;3;46;63;577;20;45;30;84344832;0
203;41;34;142;406;303;0;244;47;62;1223;22;45;30;84344832;0
204;41;35;11;4;303;0;6;48;62;1223;22;45;30;84344832;0
205;41;35;1;0;302;0;3;47;61;1223;22;45;30;84344832;0
206;41;34;124;345;302;0;244;48;61;1349;19;45;30;84344832;0
207;41;35;14;4;304;0;6;48;60;1349;19;45;30;84344832;0
208;41;35;2;3;302;0;1;48;60;1349;19;45;30;84344832;0
209;41;34;125;370;299;0;244;48;60;1312;20;45;30;84344832;0
210;41;34;19;84;296;0;0;49;59;1312;20;45;30;84344832;0
211;41;35;14;18;292;0;255;49;59;1219;30;45;30;84344832;0
212;41;35;2;0;291;0;255;49;59;1219;30;45;30;84344832;0
213;41;35;0;0;292;0;255;48;58;1219;30;45;30;84344832;0
214;41;35;0;1;291;0;255;48;58;1219;30;45;30;84344832;0
215;41;34;9;245;288;0;241;47;58;1219;30;45;30;84344832;0
216;41;34;87;145;286;0;4;48;57;243;12;45;30;84344832;0
217;41;35;3;0;284;0;5;48;57;243;12;45;30;84344832;0
218;41;34;107;252;283;0;245;48;57;1059;21;45;30;84344832;0
219;41;35;35;27;285;0;5;49;56;1059;21;45;30;84344832;0
220;41;34;21;37;288;0;255;49;56;1059;21;45;30;84344832;0
221;41;35;3;0;291;0;255;49;56;1059;21;45;30;84344832;0
222;41;35;0;0;296;0;255;48;56;1059;21;45;30;84344832;0
223;41;34;151;389;298;0;239;48;55;1215;12;45;30;84344832;0
224;41;35;10;10;298;0;5;49;55;1215;12;45;30;84344832;0
225;41;35;113;272;299;0;245;49;55;1093;26;45;30;84344832;0
226;41;35;40;63;302;0;5;49;54;1093;26;45;30;84344832;0
227;41;35;5;0;305;0;4;49;54;1093;26;45;30;84344832;0
228;41;34;152;418;308;0;239;49;54;1273;19;45;30;84344832;0
229;41;35;13;9;312;0;6;49;54;1273;19;45;30;84344832;0
230;41;35;3;4;314;0;1;49;53;1273;19;45;30;84344832;0
231;41;34;156;429;316;0;240;49;53;1196;19;45;30;84344832;0
232;41;35;24;11;321;0;9;49;53;1196;19;45;30;84344832;0
233;41;35;2;1;322;0;5;49;52;1196;19;45;30;84344832;0
234;41;34;143;401;322;0;242;49;52;1320;20;45;30;84344832;0
235;41;35;11;2;321;0;9;49;52;1320;20;45;30;84344832;0
236;41;35;1;3;319;0;1;48;52;1320;20;45;30;84344832;0
237;41;34;146;429;317;0;244;48;51;1302;21;45;30;84344832;0
238;41;35;6;1;314;0;8;48;51;1302;21;45;30;84344832;0
239;41;35;2;41;311;0;0;48;51;1302;21;45;30;84344832;0
240;41;34;163;478;308;0;242;48;51;1380;20;45;30;84344832;0
241;41;35;4;0;306;0;9;48;50;1380;20;45;30;84344832;0
242;41;34;7;190;304;0;244;48;50;1232;20;45;30;84344832;0
243;41;34;128;363;304;0;248;48;50;1232;20;45;30;84344832;0
244;41;35;3;3;304;0;7;48;50;1232;20;45;30;84344832;0
245;41;34;136;330;302;0;244;48;50;1174;20;45;30;84344832;0
246;41;35;34;22;300;0;9;48;49;1174;20;45;30;84344832;0
247;41;35;2;1;298;0;3;48;49;1174;20;45;30;84344832;0
248;41;34;141;393;298;0;243;48;49;1338;20;45;30;84344832;0
249;41;35;14;3;301;0;8;48;49;1338;20;45;30;84344832;0
250;41;35;2;2;302;0;1;47;48;1338;20;45;30;84344832;0
251;41;34;126;355;302;0;244;47;48;1283;20;45;30;84344832;0
252;41;35;9;1;303;0;7;47;48;1283;20;45;30;84344832;0
253;41;35;1;2;301;0;0;47;48;1283;20;45;30;84344832;0
254;41;34;122;352;299;0;244;47;48;1133;19;45;30;84344832;0
255;41;35;7;1;298;0;7;47;48;1133;19;45;30;84344832;0
256;41;35;1;2;294;0;0;47;47;1133;19;45;30;84344832;0
257;41;34;123;352;293;0;245;47;47;1113;19;45;30;84344832;0
258;41;35;5;0;294;0;5;47;47;1113;19;45;30;84344832;0
259;41;34;3;168;293;0;243;47;47;1113;19;45;30;84344832;0
260;41;34;124;321;293;0;247;47;47;1090;19;45;30;84344832;0
261;41;35;5;0;293;0;5;47;47;1090;19;45;30;84344832;0
262;41;34;3;158;293;0;243;47;46;1090;19;45;30;84344832;0
263;41;34;119;307;293;0;247;47;46;1070;19;45;30;84344832;0
264;41;35;5;0;294;0;5;46;46;1070;19;45;30;84344832;0
265;41;34;9;220;294;0;242;46;46;1070;19;45;30;84344832;0
266;41;34;120;292;295;0;250;46;46;1035;19;45;30;84344832;0
267;41;35;3;1;296;0;3;46;46;1035;19;45;30;84344832;0
268;41;34;133;274;296;0;246;46;46;1045;20;45;30;84344832;0
269;41;35;26;9;297;0;13;46;45;1045;20;45;30;84344832;0
270;41;35;2;1;298;0;9;46;45;1045;20;45;30;84344832;0
271;41;34;128;326;298;0;244;46;45;996;21;45;30;84344832;0
272;41;35;13;3;301;0;6;46;45;996;21;45;30;84344832;0
273;41;35;1;0;301;0;3;46;45;996;21;45;30;84344832;0
274;41;35;119;312;303;0;245;46;45;1334;18;45;30;84344832;0
275;41;35;26;15;306;0;8;45;45;1334;18;45;30;84344832;0
276;41;35;2;1;306;0;3;45;44;1334;18;45;30;84344832;0
277;41;34;149;408;306;0;241;45;44;1212;19;45;30;84344832;0
278;41;35;22;11;306;0;9;45;44;1212;19;45;30;84344832;0
279;41;35;2;1;306;0;3;45;44;1212;19;45;30;84344832;0
280;41;34;119;314;307;0;245;45;44;1397;19;45;30;84344832;0
281;41;35;12;2;311;0;7;45;44;1397;19;45;30;84344832;0
282;41;35;2;4;312;0;0;45;44;1397;19;45;30;84344832;0
283;41;34;117;335;311;0;245;45;46;1138;20;45;30;84344832;0
284;41;35;8;1;311;0;7;45;47;1138;20;45;30;84344832;0
285;41;35;7;156;308;0;251;45;48;1138;20;45;30;84344832;0
286;41;34;131;339;307;0;249;45;49;1124;21;45;30;84344832;0
287;41;35;5;0;307;0;5;45;49;1124;21;45;30;84344832;0
288;41;34;4;191;304;0;244;45;49;1124;21;45;30;84344832;0
289;41;34;125;343;304;0;245;45;48;1101;19;45;30;84344832;0
290;41;35;4;0;303;0;4;45;48;1101;19;45;30;84344832;0
291;41;35;1;1;299;0;0;45;48;1101;19;45;30;84344832;0
292;41;34;149;412;298;0;243;45;48;1115;17;45;30;84344832;0
293;41;35;3;0;297;0;12;45;48;1115;17;45;30;84344832;0
294;41;34;103;274;297;0;247;45;47;939;23;45;30;84344832;0
295;41;35;9;0;298;0;21;45;47;939;23;45;30;84344832;0
296;41;34;3;92;298;0;0;45;47;939;23;45;30;84344832;0
297;41;34;131;252;297;0;1;45;47;722;25;45;30;84344832;0
298;41;35;3;0;297;0;17;45;47;722;25;45;30;84344832;0
299;41;35;1;2;296;0;5;45;46;722;25;45;30;84344832;0
300;41;34;141;301;297;0;245;45;46;1019;15;45;30;84344832;0
301;41;34;53;73;298;0;6;45;46;1019;15;45;30;84344832;0
302;41;35;2;1;300;0;2;45;46;1019;15;45;30;84344832;0
303;41;34;119;296;302;0;243;45;46;1150;20;45;30;84344832;0
304;41;35;16;4;306;0;7;45;46;1150;20;45;30;84344832;0
305;41;35;1;0;307;0;1;45;46;1150;20;45;30;84344832;0
306;41;34;121;323;309;0;244;45;45;1115;19;45;30;84344832;0
307;41;35;12;4;311;0;5;45;45;1115;19;45;30;84344832;0
308;41;35;1;1;311;0;1;45;45;1115;19;45;30;84344832;0
309;41;34;99;281;311;0;243;45;45;1007;18;45;30;84344832;0
310;41;35;39;31;313;0;6;45;45;1007;18;45;30;84344832;0
311;41;35;2;0;312;0;2;45;45;1007;18;45;30;84344832;0
312;41;34;151;386;310;0;240;45;45;1118;18;45;30;84344832;0
313;41;35;29;16;309;0;8;45;44;1118;18;45;30;84344832;0
314;41;35;2;2;308;0;2;45;44;1118;18;45;30;84344832;0
315;41;35;116;326;306;0;244;45;44;1137;21;45;30;84344832;0
316;41;35;11;3;307;0;5;45;44;1137;21;45;30;84344832;0
317;41;35;1;1;305;0;2;44;45;1137;21;45;30;84344832;0
318;41;34;97;305;303;0;244;44;46;1048;17;45;30;84344832;0
319;41;34;157;377;302;0;0;45;46;1048;17;45;30;84344832;0
320;41;35;5;12;300;0;7;44;47;1048;17;45;30;84344832;0
321;41;34;76;365;298;0;239;45;47;1539;18;45;30;84344832;0
322;41;34;90;160;300;0;4;45;46;1539;18;45;30;84344832;0
323;41;35;2;0;300;0;4;45;46;1539;18;45;30;84344832;0
324;41;34;120;296;299;0;244;45;46;1063;21;45;30;84344832;0
325;41;35;34;23;298;0;7;45;46;1063;21;45;30;84344832;0
326;41;35;2;1;297;0;3;45;46;1063;21;45;30;84344832;0
327;41;34;101;271;297;0;246;45;46;1093;21;45;30;84344832;0
328;41;35;19;8;298;0;8;45;45;1093;21;45;30;84344832;0
329;41;35;1;1;297;0;2;45;45;1093;21;45;30;84344832;0
330;41;34;119;329;295;0;244;45;45;1163;18;45;30;84344832;0
331;41;35;16;3;294;0;14;44;45;1163;18;45;30;84344832;0
332;41;35;2;11;293;0;3;44;45;1163;18;45;30;84344832;0
333;41;34;159;405;293;0;246;44;45;1034;21;45;30;84344832;0
334;41;35;4;0;293;0;7;44;45;1034;21;45;30;84344832;0
335;41;34;12;280;295;0;239;44;45;1034;21;45;30;84344832;0
336;41;34;44;44;300;0;5;44;46;1081;21;45;30;84344832;0
337;41;35;2;1;304;0;1;44;47;1081;21;45;30;84344832;0
338;41;34;132;339;306;0;243;44;47;892;22;45;30;84344832;0
339;41;35;8;1;309;0;6;44;47;892;22;45;30;84344832;0
340;41;35;1;3;310;0;0;44;47;892;22;45;30;84344832;0
341;41;34;127;343;311;0;246;44;47;1021;21;45;30;84344832;0
342;41;35;4;0;310;0;4;45;47;1021;21;45;30;84344832;0
343;41;34;12;258;309;0;240;44;47;1021;21;45;30;84344832;0
344;41;35;43;42;308;0;4;45;47;892;21;45;30;84344832;0
345;41;35;2;0;307;0;2;45;47;892;21;45;30;84344832;0
346;41;34;16;236;305;0;241;44;46;892;21;45;30;84344832;0
347;41;35;42;43;303;0;3;45;46;877;19;45;30;84344832;0
348;41;35;2;1;302;0;0;45;46;877;19;45;30;84344832;0
349;41;34;113;328;298;0;242;45;46;689;23;45;30;84344832;0
350;41;35;21;6;294;0;8;45;46;689;23;45;30;84344832;0
