# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 08.11.2018 12:39:48
1;0;0;0;5;0;0;0;26;25;0;0;50;30;84279808;0
50;0;0;0;5;631;0;250;26;25;0;0;50;30;84279301;0
111;0;0;0;5;210;0;255;26;25;0;0;50;30;84279301;0
172;0;0;0;5;210;0;255;26;25;0;0;50;30;84279301;0
186;41;0;0;5;210;0;255;26;25;0;0;50;30;84279300;0
190;41;32;0;5;210;0;255;26;25;0;0;50;30;84279296;0
229;41;30;0;5;190;0;0;26;25;0;0;50;30;84344832;0
230;41;30;0;10;190;0;7;26;27;0;0;50;30;84344832;0
231;41;30;0;6;190;0;2;26;30;0;0;50;30;84344832;0
232;41;30;0;8;190;0;0;26;34;0;0;50;30;84344832;0
233;41;27;143;346;190;0;238;26;37;0;0;50;30;84344832;0
234;41;28;80;184;190;0;254;26;41;0;0;50;30;84344832;0
235;41;28;17;9;197;0;4;27;44;0;0;50;30;84344832;0
236;41;28;1;0;215;0;12;27;47;0;0;50;30;84344832;0
237;41;28;0;0;233;0;8;27;49;0;0;50;30;84344832;0
238;41;28;44;118;247;0;250;27;52;1529;12;50;30;84344832;0
239;41;28;45;85;257;0;253;28;55;1529;12;50;30;84344832;0
240;41;28;3;0;265;0;9;28;57;1529;12;50;30;84344832;0
241;41;28;1;2;268;0;2;28;59;1529;12;50;30;84344832;0
242;41;28;0;1;272;0;3;28;61;1529;12;50;30;84344832;0
243;41;28;46;79;275;0;251;29;64;500;12;50;30;84344832;0
244;41;28;8;2;279;0;5;30;66;500;12;50;30;84344832;0
245;41;28;1;0;284;0;6;30;68;500;12;50;30;84344832;0
246;41;27;29;108;289;0;249;30;70;332;16;50;30;84344832;0
247;41;28;41;64;293;0;253;31;72;332;16;50;30;84344832;0
248;41;28;3;0;297;0;7;32;73;332;16;50;30;84344832;0
249;41;28;0;0;299;0;3;32;72;332;16;50;30;84344832;0
250;41;27;45;94;300;0;250;33;72;383;16;50;30;84344832;0
251;41;28;9;2;301;0;2;35;73;383;16;50;30;84344832;0
252;41;28;1;0;302;0;8;35;73;383;16;50;30;84344832;0
253;41;28;14;103;301;0;249;35;72;335;17;50;30;84344832;0
254;41;28;41;84;300;0;252;36;72;335;17;50;30;84344832;0
255;41;28;3;0;300;0;8;37;74;335;17;50;30;84344832;0
256;41;28;1;0;298;0;4;36;73;335;17;50;30;84344832;0
257;41;27;46;100;296;0;250;37;73;353;16;50;30;84344832;0
258;41;28;8;1;295;0;4;38;74;353;16;50;30;84344832;0
259;41;28;1;0;295;0;8;38;74;353;16;50;30;84344832;0
260;41;27;53;110;293;0;250;38;74;350;18;50;30;84344832;0
261;41;28;17;6;292;0;1;40;75;350;18;50;30;84344832;0
262;41;28;2;0;291;0;8;40;76;350;18;50;30;84344832;0
263;41;27;7;68;291;0;252;39;75;377;17;50;30;84344832;0
264;41;28;41;78;292;0;252;40;76;377;17;50;30;84344832;0
265;41;28;3;0;293;0;7;41;77;377;17;50;30;84344832;0
266;41;28;1;14;294;0;251;40;76;377;17;50;30;84344832;0
267;41;27;55;115;295;0;250;41;77;313;18;50;30;84344832;0
268;41;28;6;1;296;0;6;42;78;313;18;50;30;84344832;0
269;41;28;1;0;298;0;6;42;78;313;18;50;30;84344832;0
270;41;27;42;94;301;0;250;42;77;418;16;50;30;84344832;0
271;41;28;22;12;303;0;0;43;79;418;16;50;30;84344832;0
272;41;28;2;0;306;0;7;43;79;418;16;50;30;84344832;0
273;41;28;0;0;307;0;255;42;79;418;16;50;30;84344832;0
274;41;27;42;88;308;0;250;43;79;338;16;50;30;84344832;0
275;41;28;7;1;309;0;7;44;80;338;16;50;30;84344832;0
276;41;28;1;0;309;0;6;44;80;338;16;50;30;84344832;0
277;41;27;47;100;308;0;250;44;80;335;17;50;30;84344832;0
278;41;28;10;2;307;0;5;45;81;335;17;50;30;84344832;0
279;41;28;1;0;306;0;7;45;81;335;17;50;30;84344832;0
280;41;27;21;106;305;0;249;44;81;338;18;50;30;84344832;0
281;41;28;24;10;305;0;0;46;82;338;18;50;30;84344832;0
282;41;28;2;0;304;0;10;46;82;338;18;50;30;84344832;0
283;41;27;33;92;304;0;250;45;82;340;19;50;30;84344832;0
284;41;28;20;8;303;0;1;47;83;340;19;50;30;84344832;0
285;41;28;2;0;302;0;8;47;83;340;19;50;30;84344832;0
286;41;27;34;97;301;0;250;46;83;307;19;50;30;84344832;0
287;41;28;36;34;300;0;255;48;84;307;19;50;30;84344832;0
288;41;28;2;0;300;0;7;48;85;307;19;50;30;84344832;0
289;41;28;0;0;300;0;0;47;84;307;19;50;30;84344832;0
290;41;27;43;86;300;0;251;48;84;374;16;50;30;84344832;0
291;41;28;8;1;301;0;3;49;85;374;16;50;30;84344832;0
292;41;28;1;0;302;0;5;48;86;374;16;50;30;84344832;0
293;41;27;7;71;302;0;250;48;85;349;16;50;30;84344832;0
294;41;28;37;59;302;0;252;49;86;349;16;50;30;84344832;0
295;41;28;3;0;302;0;6;50;87;349;16;50;30;84344832;0
296;41;28;1;0;302;0;255;49;86;349;16;50;30;84344832;0
297;41;28;3;56;302;0;251;49;85;349;16;50;30;84344832;0
298;41;27;38;69;301;0;251;50;86;312;14;50;30;84344832;0
299;41;28;4;0;302;0;6;50;87;312;14;50;30;84344832;0
300;41;28;1;0;302;0;4;50;87;312;14;50;30;84344832;0
301;41;27;25;88;302;0;250;50;86;294;16;50;30;84344832;0
302;41;28;16;5;302;0;1;51;85;294;16;50;30;84344832;0
303;41;28;2;0;303;0;5;51;84;294;16;50;30;84344832;0
304;41;27;4;80;302;0;250;50;83;294;16;50;30;84344832;0
305;41;27;37;67;301;0;252;51;82;294;17;50;30;84344832;0
306;41;28;4;0;301;0;6;52;82;294;17;50;30;84344832;0
307;41;28;0;0;300;0;2;51;81;294;17;50;30;84344832;0
308;41;27;41;86;300;0;250;51;80;331;17;50;30;84344832;0
309;41;28;11;2;300;0;4;52;80;331;17;50;30;84344832;0
310;41;28;1;0;301;0;6;51;79;331;17;50;30;84344832;0
311;41;27;41;93;301;0;250;51;78;303;18;50;30;84344832;0
312;41;28;10;2;300;0;2;52;78;303;18;50;30;84344832;0
313;41;28;1;0;299;0;6;52;77;303;18;50;30;84344832;0
314;41;27;8;77;299;0;250;51;77;308;18;50;30;84344832;0
315;41;28;27;22;299;0;255;52;76;308;18;50;30;84344832;0
316;41;28;2;0;300;0;6;52;76;308;18;50;30;84344832;0
317;41;27;9;75;300;0;250;51;75;242;19;50;30;84344832;0
318;41;28;29;22;298;0;0;52;74;242;19;50;30;84344832;0
319;41;28;2;0;296;0;6;52;74;242;19;50;30;84344832;0
320;41;27;6;79;293;0;250;51;74;242;19;50;30;84344832;0
321;41;27;33;46;292;0;254;52;73;274;18;50;30;84344832;0
322;41;28;2;0;292;0;6;52;73;274;18;50;30;84344832;0
323;41;27;10;76;292;0;250;51;72;263;20;50;30;84344832;0
324;41;27;32;45;293;0;254;52;72;263;20;50;30;84344832;0
325;41;28;2;0;294;0;8;51;71;263;20;50;30;84344832;0
326;41;27;21;88;295;0;250;51;71;270;19;50;30;84344832;0
327;41;28;26;11;296;0;0;51;70;270;19;50;30;84344832;0
328;41;28;2;0;298;0;7;51;70;270;19;50;30;84344832;0
329;41;27;6;69;300;0;250;50;69;266;19;50;30;84344832;0
330;41;28;43;79;301;0;252;51;69;266;19;50;30;84344832;0
331;41;28;5;0;302;0;5;51;68;266;19;50;30;84344832;0
332;41;28;1;0;303;0;4;51;68;266;19;50;30;84344832;0
333;41;27;33;84;304;0;250;50;68;375;15;50;30;84344832;0
334;41;28;22;10;306;0;0;51;67;375;15;50;30;84344832;0
335;41;28;2;0;307;0;6;51;67;375;15;50;30;84344832;0
336;41;27;10;87;307;0;249;50;66;290;18;50;30;84344832;0
337;41;27;39;53;307;0;254;50;66;290;18;50;30;84344832;0
338;41;28;3;0;307;0;6;50;66;290;18;50;30;84344832;0
339;41;28;1;6;306;0;252;50;65;290;18;50;30;84344832;0
